app,date,campaign,os,installs,spend,cpi
real,2019-03-01,MSK,ios,8.000,734.390,91.799
real,2019-03-01,MSK,windows,0.000,6.780,6.780
real,2019-03-01,MSK,server,0.000,509.370,509.370
real,2019-03-01,SPB,ios,1.000,475.190,475.190
real,2019-03-01,SPB,server,0.000,4255.810,4255.810
real,2019-03-02,MSK,ios,17.000,957.800,56.341
real,2019-03-02,MSK,server,0.000,8317.960,8317.960
real,2019-03-02,SPB,ios,3.000,836.000,278.667
real,2019-03-02,SPB,server,0.000,6214.530,6214.530
real,2019-03-03,MSK,ios,17.000,942.580,55.446
real,2019-03-03,MSK,unknown,0.000,0.000,0.000
real,2019-03-03,MSK,server,0.000,1501.970,1501.970
real,2019-03-03,SPB,ios,3.000,865.570,288.523
real,2019-03-04,MSK,ios,14.000,1329.950,94.996
real,2019-03-04,MSK,server,0.000,2021.090,2021.090
real,2019-03-04,SPB,ios,6.000,786.570,131.095
real,2019-03-04,SPB,server,0.000,4154.970,4154.970
real,2019-03-05,MSK,ios,12.000,940.230,78.353
real,2019-03-05,MSK,server,0.000,1699.600,1699.600
real,2019-03-05,SPB,ios,2.000,618.210,309.105
real,2019-03-05,SPB,server,0.000,6111.070,6111.070
real,2019-03-06,MSK,ios,5.000,650.600,130.120
real,2019-03-06,MSK,windows,0.000,0.000,0.000
real,2019-03-06,MSK,server,0.000,680.310,680.310
real,2019-03-06,SPB,ios,3.000,588.670,196.223
real,2019-03-06,SPB,server,0.000,3821.220,3821.220
real,2019-03-06,SPB,windows,0.000,0.000,0.000
real,2019-03-07,MSK,ios,6.000,387.010,64.502
real,2019-03-07,MSK,windows,0.000,0.000,0.000
real,2019-03-07,SPB,ios,4.000,872.570,218.143
real,2019-03-07,SPB,server,0.000,6864.020,6864.020
real,2019-03-08,MSK,ios,12.000,602.950,50.246
real,2019-03-08,MSK,windows,0.000,0.000,0.000
real,2019-03-08,SPB,ios,3.000,677.070,225.690
real,2019-03-08,SPB,server,0.000,3700.000,3700.000
real,2019-03-09,MSK,ios,17.000,764.400,44.965
real,2019-03-09,MSK,windows,0.000,0.000,0.000
real,2019-03-09,SPB,ios,9.000,1091.480,121.276
real,2019-03-09,SPB,server,0.000,4193.230,4193.230
